humidity,precipMM,tempC,Common cold,Dengue,HeatStroke
26,0,29,0,0,0
27,0,29,0,0,0
29,0,29,0,0,0
31,0,28,0,0,0
36,0,27,0,0,0
42,0,26,0,0,0
48,0,24,0,0,0
48,0,22,0,0,0
49,0,21,0,0,0
49,0,20,0,0,0
50,0,20,0,0,0
51,0,19,0,0,0
51,0,19,0,0,0
51,0,18,0,0,0
51,0,18,0,0,0
50,0,17,0,0,0
48,0,19,0,0,0
46,0,18,0,0,0
43,0,19,0,0,0
39,0,20,0,0,0
34,0,22,0,0,0
30,0,25,0,0,0
29,0,26,0,0,0
28,0,28,0,0,0
27,0,29,0,0,0
28,0,29,0,0,0
30,0,29,0,0,0
31,0,28,0,0,0
35,0,27,0,0,0
40,0,26,0,0,0
44,0,24,0,0,0
45,0,23,0,0,0
46,0,21,0,0,0
48,0,21,0,0,0
50,0,20,0,0,0
52,0,20,0,0,0
54,0,19,0,0,0
54,0,19,0,0,0
55,0,18,0,0,0
55,0,18,0,0,0
52,0,19,0,0,0
48,0,19,0,0,0
45,0,20,0,0,0
40,0,21,0,0,0
35,0,23,0,0,0
30,0,25,0,0,0
29,0,27,0,0,0
27,0,28,0,0,0
26,0,29,0,0,0
28,0,29,0,0,0
29,0,29,0,0,0
31,0,28,0,0,0
35,0,27,0,0,0
39,0,26,0,0,0
44,0,24,0,0,0
46,0,23,0,0,0
48,0,21,0,0,0
50,0,20,0,0,0
51,0,20,0,0,0
51,0,20,0,0,0
52,0,19,0,0,0
52,0,19,0,0,0
53,0,18,0,0,0
53,0,18,0,0,0
50,0,19,0,0,0
48,0,18,0,0,0
45,0,19,0,0,0
40,0,20,0,0,0
36,0,22,0,0,0
31,0,24,0,0,0
30,0,26,0,0,0
29,0,27,0,0,0
28,0,28,0,0,0
29,0,28,0,0,0
30,0,27,0,0,0
31,0,26,0,0,0
35,0,26,0,0,0
39,0,25,0,0,0
44,0,23,0,0,0
45,0,21,0,0,0
47,0,20,0,0,0
48,0,19,0,0,0
49,0,19,0,0,0
50,0,19,0,0,0
51,0,18,0,0,0
52,0,18,0,0,0
53,0,17,0,0,0
55,0,17,0,0,0
52,0,18,0,0,0
49,0,17,0,0,0
46,0,18,0,0,0
41,0,19,0,0,0
37,0,21,0,0,0
33,0,24,0,0,0
31,0,25,0,0,0
29,0,26,0,0,0
27,0,27,0,0,0
28,0,28,0,0,0
29,0,28,0,0,0
31,0,27,0,0,0
36,0,25,0,0,0
41,0,24,0,0,0
46,0,23,0,0,0
47,0,21,0,0,0
49,0,20,0,0,0
50,0,19,0,0,0
52,0,19,0,0,0
54,0,18,0,0,0
55,0,18,0,0,0
55,0,18,0,0,0
56,0,17,0,0,0
56,0,17,0,0,0
53,0,17,0,0,0
49,0,17,0,0,0
46,0,18,0,0,0
41,0,19,0,0,0
35,0,21,0,0,0
29,0,24,0,0,0
28,0,25,0,0,0
27,0,27,0,0,0
26,0,28,0,0,0
27,0,29,0,0,0
29,0,28,0,0,0
30,0,28,0,0,0
36,0,27,0,0,0
41,0,25,0,0,0
47,0,23,0,0,0
48,0,21,0,0,0
50,0,22,0,0,0
52,0,20,0,0,0
53,0,19,0,0,0
55,0,19,0,0,0
56,0,18,0,0,0
56,0,18,0,0,0
55,0,18,0,0,0
54,0,17,0,0,0
52,0,18,0,0,0
50,0,19,0,0,0
47,0,18,0,0,0
41,0,19,0,0,0
35,0,20,0,0,0
29,0,24,0,0,0
28,0,26,0,0,0
26,0,27,0,0,0
25,0,29,0,0,0
26,0,28,0,0,0
28,0,28,0,0,0
29,0,27,0,0,0
32,0,26,0,0,0
35,0,25,0,0,0
38,0,23,0,0,0
39,0,22,0,0,0
40,0,21,0,0,0
41,0,21,0,0,0
42,0,20,0,0,0
44,0,19,0,0,0
45,0,18,0,0,0
47,0,18,0,0,0
48,0,18,0,0,0
49,0,17,0,0,0
49,0,17,0,0,0
49,0,17,0,0,0
50,0,18,0,0,0
45,0,18,0,0,0
40,0,21,0,0,0
35,0,23,0,0,0
34,0,25,0,0,0
32,0,27,0,0,0
31,0,28,0,0,0
32,0,28,0,0,0
34,0,28,0,0,0
35,0,27,0,0,0
37,0,27,0,0,0
40,0,26,0,0,0
43,0,25,0,0,0
43,0,24,0,0,0
43,0,23,0,0,0
43,0,22,0,0,0
44,0,21,0,0,0
44,0,20,0,0,0
45,0,20,0,0,0
45,0,19,0,0,0
45,0,19,0,0,0
45,0,19,0,0,0
44,0,20,0,0,0
43,0,20,0,0,0
42,0,20,0,0,0
39,0,21,0,0,0
36,0,23,0,0,0
33,0,25,0,0,0
33,0,27,0,0,0
32,0,29,0,0,0
32,0,30,0,0,0
33,0,30,0,0,0
34,0,30,0,0,0
35,0,29,0,0,0
39,0,29,0,0,0
44,0,28,0,0,0
48,0,26,0,0,0
50,0,25,0,0,0
52,0,24,0,0,0
53,0,23,0,0,0
55,0,22,0,0,0
57,0,22,0,0,0
59,0,21,0,0,0
59,0,21,0,0,0
59,0,21,0,0,0
60,0,20,0,0,0
56,0,21,0,0,0
51,0,22,0,0,0
47,0,23,0,0,0
42,0,23,0,0,0
38,0,25,0,0,0
33,0,27,0,0,0
33,0,28,0,0,0
33,0,30,0,0,0
32,0,31,0,0,0
34,0,30,0,0,0
35,0,30,0,0,0
36,0,29,0,0,0
39,0,29,0,0,0
41,0,28,0,0,0
44,0,27,0,0,0
45,0,25,0,0,0
46,0,24,0,0,0
47,0,23,0,0,0
50,0,23,0,0,0
52,0,23,0,0,0
55,0,22,0,0,0
54,0,22,0,0,0
53,0,22,0,0,0
52,0,21,0,0,0
50,0,22,0,0,0
48,0,22,0,0,0
46,0,22,0,0,0
41,0,23,0,0,0
36,0,25,0,0,0
32,0,27,0,0,0
31,0,29,0,0,0
31,0,30,0,0,0
30,0,31,0,0,1
31,0,30,0,0,0
32,0,30,0,0,0
33,0,29,0,0,0
36,0,29,0,0,0
40,0,28,0,0,0
44,0,26,0,0,0
45,0,26,0,0,0
45,0,24,0,0,0
46,0,23,0,0,0
48,0,23,0,0,0
49,0,22,0,0,0
51,0,22,0,0,0
51,0,21,0,0,0
51,0,21,0,0,0
51,0,21,0,0,0
48,0,22,0,0,0
44,0,22,0,0,0
41,0,22,0,0,0
37,0,23,0,0,0
33,0,25,0,0,0
30,0,27,0,0,0
29,0,29,0,0,0
29,0,30,0,0,1
28,0,32,0,0,1
29,0,31,0,0,1
31,0,30,0,0,0
32,0,30,0,0,0
37,0,29,0,0,0
42,0,28,0,0,0
47,0,27,0,0,0
48,0,26,0,0,0
49,0,24,0,0,0
50,0,24,0,0,0
52,0,23,0,0,0
54,0,23,0,0,0
56,0,22,0,0,0
56,0,22,0,0,0
55,0,22,0,0,0
55,0,21,0,0,0
53,0,22,0,0,0
50,0,22,0,0,0
48,0,22,0,0,0
42,0,23,0,0,0
36,0,25,0,0,0
30,0,28,0,0,0
30,0,29,0,0,0
29,0,30,0,0,1
29,0,32,0,0,1
30,0,31,0,0,1
31,0,30,0,0,0
31,0,29,0,0,0
34,0,29,0,0,0
36,0,28,0,0,0
39,0,26,0,0,0
41,0,25,0,0,0
43,0,25,0,0,0
46,0,24,0,0,0
48,0,24,0,0,0
51,0,23,0,0,0
53,0,23,0,0,0
53,0,23,0,0,0
52,0,22,0,0,0
51,0,22,0,0,0
49,0,23,0,0,0
47,0,22,0,0,0
44,0,23,0,0,0
40,0,24,0,0,0
36,0,25,0,0,0
32,0,27,0,0,0
31,0,29,0,0,0
30,0,30,0,0,1
29,0,30,0,0,1
29,0,31,0,0,1
30,0,30,0,0,1
31,0,29,0,0,0
33,0,29,0,0,0
35,0,28,0,0,0
37,0,27,0,0,0
38,0,26,0,0,0
39,0,24,0,0,0
40,0,23,0,0,0
42,0,23,0,0,0
44,0,22,0,0,0
47,0,22,0,0,0
47,0,22,0,0,0
48,0,21,0,0,0
49,0,21,0,0,0
46,0,21,0,0,0
44,0,22,0,0,0
41,0,23,0,0,0
36,0,23,0,0,0
30,0,25,0,0,0
24,0,27,0,0,0
23,0,28,0,0,0
22,0,30,0,0,1
21,0,31,0,0,1
22,0,30,0,0,1
23,0,29,0,0,0
24,0,30,0,0,1
28,0,29,0,0,0
32,0,27,0,0,0
36,0,26,0,0,0
38,0,25,0,0,0
40,0,23,0,0,0
42,0,23,0,0,0
43,0,22,0,0,0
45,0,22,0,0,0
46,0,21,0,0,0
46,0,21,0,0,0
46,0,20,0,0,0
46,0,20,0,0,0
43,0,20,0,0,0
41,0,20,0,0,0
38,0,20,0,0,0
35,0,21,0,0,0
31,0,23,0,0,0
28,0,26,0,0,0
27,0,28,0,0,0
25,0,30,0,0,1
24,0,30,0,0,1
24,0,31,0,0,1
25,0,31,0,0,1
25,0,31,0,0,1
28,0,29,0,0,0
30,0,27,0,0,0
33,0,26,0,0,0
35,0,25,0,0,0
37,0,23,0,0,0
39,0,22,0,0,0
40,0,22,0,0,0
42,0,21,0,0,0
44,0,21,0,0,0
46,0,20,0,0,0
47,0,19,0,0,0
49,0,19,0,0,0
47,0,20,0,0,0
44,0,21,0,0,0
41,0,20,0,0,0
37,0,20,0,0,0
33,0,22,0,0,0
30,0,25,0,0,0
28,0,27,0,0,0
27,0,29,0,0,0
25,0,30,0,0,1
26,0,30,0,0,1
26,0,30,0,0,1
26,0,29,0,0,0
29,0,28,0,0,0
32,0,27,0,0,0
36,0,26,0,0,0
38,0,24,0,0,0
41,0,23,0,0,0
44,0,22,0,0,0
47,0,22,0,0,0
49,0,21,0,0,0
52,0,21,0,0,0
52,0,20,0,0,0
53,0,19,0,0,0
53,0,20,0,0,0
49,0,20,0,0,0
44,0,20,0,0,0
40,0,19,0,0,0
34,0,20,0,0,0
29,0,22,0,0,0
24,0,25,0,0,0
22,0,27,0,0,0
20,0,29,0,0,0
18,0,30,0,0,1
19,0,30,0,0,1
19,0,30,0,0,1
20,0,30,0,0,1
24,0,28,0,0,0
29,0,27,0,0,0
34,0,26,0,0,0
34,0,24,0,0,0
35,0,23,0,0,0
36,0,22,0,0,0
38,0,22,0,0,0
40,0,20,0,0,0
42,0,20,0,0,0
42,0,19,0,0,0
43,0,18,0,0,0
44,0,19,0,0,0
40,0,19,0,0,0
36,0,20,0,0,0
32,0,20,0,0,0
29,0,20,0,0,0
25,0,22,0,0,0
21,0,25,0,0,0
20,0,27,0,0,0
19,0,29,0,0,0
18,0,30,0,0,1
18,0,30,0,0,1
19,0,31,0,0,1
19,0,31,0,0,1
23,0,29,0,0,0
26,0,27,0,0,0
30,0,25,0,0,0
31,0,24,0,0,0
33,0,24,0,0,0
34,0,23,0,0,0
37,0,22,0,0,0
39,0,22,0,0,0
42,0,19,0,0,0
41,0,19,0,0,0
39,0,19,0,0,0
38,0,19,0,0,0
36,0,19,0,0,0
35,0,20,0,0,0
33,0,20,0,0,0
29,0,21,0,0,0
25,0,22,0,0,0
21,0,26,0,0,0
21,0,28,0,0,0
21,0,29,0,0,0
21,0,30,0,0,1
22,0,31,0,0,1
24,0,30,0,0,1
26,0,29,0,0,0
32,0,28,0,0,0
37,0,27,0,0,0
43,0,25,0,0,0
46,0,22,0,0,0
50,0,21,0,0,0
53,0,21,0,0,0
54,0,20,0,0,0
54,0,20,0,0,0
55,0,19,0,0,0
57,0,19,0,0,0
58,0,18,0,0,0
60,0,18,0,0,0
58,0,18,0,0,0
56,0,18,0,0,0
53,0,18,0,0,0
46,0,19,0,0,0
39,0,22,0,0,0
31,0,25,0,0,0
29,0,26,0,0,0
26,0,28,0,0,0
24,0,29,0,0,0
27,0,28,0,0,0
30,0,27,0,0,0
34,0,27,0,0,0
41,0,26,0,0,0
48,0,25,0,0,0
56,0,23,0,0,0
60,0,21,0,0,0
63,0,20,0,0,0
67,0,20,0,0,0
69,0,19,0,0,0
71,0,19,0,0,0
73,0,18,0,0,0
73,0,17,0,0,0
73,0,18,0,0,0
73,0,17,0,0,0
68,0,17,0,0,0
64,0,17,0,0,0
60,0,18,0,0,0
52,0,19,0,0,0
44,0,20,0,0,0
36,0,23,0,0,0
32,0,25,0,0,0
29,0,27,0,0,0
26,0,28,0,0,0
26,0,29,0,0,0
26,0,29,0,0,0
26,0,29,0,0,0
32,0,28,0,0,0
38,0,25,0,0,0
44,0,24,0,0,0
45,0,22,0,0,0
46,0,21,0,0,0
47,0,21,0,0,0
48,0,20,0,0,0
49,0,19,0,0,0
50,0,18,0,0,0
47,0,18,0,0,0
45,0,17,0,0,0
43,0,18,0,0,0
40,0,18,0,0,0
37,0,19,0,0,0
35,0,19,0,0,0
31,0,20,0,0,0
28,0,22,0,0,0
24,0,25,0,0,0
23,0,27,0,0,0
21,0,28,0,0,0
19,0,30,0,0,1
20,0,30,0,0,1
20,0,30,0,0,1
21,0,30,0,0,1
26,0,29,0,0,0
31,0,27,0,0,0
36,0,25,0,0,0
36,0,24,0,0,0
37,0,23,0,0,0
37,0,22,0,0,0
40,0,20,0,0,0
42,0,20,0,0,0
45,0,19,0,0,0
43,0,19,0,0,0
41,0,19,0,0,0
38,0,18,0,0,0
36,0,18,0,0,0
33,0,18,0,0,0
30,0,18,0,0,0
26,0,19,0,0,0
22,0,21,0,0,0
18,0,24,0,0,0
17,0,26,0,0,0
16,0,28,0,0,0
15,0,29,0,0,0
15,0,30,0,0,1
16,0,30,0,0,1
16,0,31,0,0,1
21,0,29,0,0,0
26,0,26,0,0,0
32,0,25,0,0,0
33,0,23,0,0,0
34,0,23,0,0,0
35,0,22,0,0,0
38,0,20,0,0,0
41,0,19,0,0,0
44,0,19,0,0,0
44,0,18,0,0,0
45,0,18,0,0,0
45,0,19,0,0,0
41,0,18,0,0,0
38,0,19,0,0,0
34,0,20,0,0,0
29,0,21,0,0,0
24,0,23,0,0,0
19,0,26,0,0,0
19,0,27,0,0,0
18,0,29,0,0,0
17,0,30,0,0,1
18,0,30,0,0,1
19,0,30,0,0,1
20,0,31,0,0,1
25,0,29,0,0,0
30,0,27,0,0,0
35,0,25,0,0,0
37,0,23,0,0,0
39,0,23,0,0,0
42,0,22,0,0,0
44,0,22,0,0,0
46,0,20,0,0,0
48,0,20,0,0,0
48,0,19,0,0,0
48,0,18,0,0,0
49,0,18,0,0,0
44,0,19,0,0,0
38,0,19,0,0,0
33,0,20,0,0,0
28,0,21,0,0,0
24,0,23,0,0,0
19,0,26,0,0,0
18,0,28,0,0,0
18,0,30,0,0,1
18,0,31,0,0,1
18,0,31,0,0,1
19,0,31,0,0,1
20,0,31,0,0,1
26,0,30,0,0,1
31,0,27,0,0,0
37,0,25,0,0,0
39,0,24,0,0,0
41,0,24,0,0,0
43,0,23,0,0,0
45,0,21,0,0,0
46,0,20,0,0,0
48,0,20,0,0,0
47,0,19,0,0,0
46,0,19,0,0,0
44,0,19,0,0,0
40,0,20,0,0,0
35,0,20,0,0,0
31,0,21,0,0,0
27,0,22,0,0,0
23,0,23,0,0,0
19,0,26,0,0,0
18,0,28,0,0,0
17,0,29,0,0,0
17,0,31,0,0,1
17,0,31,0,0,1
17,0,32,0,0,1
18,0,31,0,0,1
22,0,30,0,0,1
26,0,28,0,0,0
30,0,26,0,0,0
30,0,25,0,0,0
31,0,25,0,0,0
31,0,24,0,0,0
34,0,23,0,0,0
36,0,22,0,0,0
39,0,21,0,0,0
39,0,20,0,0,0
39,0,20,0,0,0
39,0,20,0,0,0
38,0,19,0,0,0
37,0,19,0,0,0
36,0,19,0,0,0
32,0,20,0,0,0
27,0,22,0,0,0
23,0,25,0,0,0
21,0,27,0,0,0
20,0,28,0,0,0
18,0,30,0,0,1
17,0,30,0,0,1
16,0,30,0,0,1
16,0,30,0,0,1
18,0,29,0,0,0
20,0,28,0,0,0
23,0,26,0,0,0
23,0,24,0,0,0
24,0,23,0,0,0
25,0,23,0,0,0
27,0,22,0,0,0
28,0,21,0,0,0
30,0,20,0,0,0
31,0,21,0,0,0
31,0,20,0,0,0
32,0,19,0,0,0
30,0,21,0,0,0
28,0,20,0,0,0
26,0,21,0,0,0
23,0,22,0,0,0
20,0,23,0,0,0
16,0,26,0,0,0
15,0,28,0,0,0
14,0,29,0,0,0
13,0,31,0,0,1
13,0,31,0,0,1
14,0,32,0,0,1
14,0,32,0,0,1
16,0,30,0,0,1
19,0,28,0,0,0
22,0,26,0,0,0
22,0,25,0,0,0
23,0,24,0,0,0
24,0,23,0,0,0
26,0,23,0,0,0
28,0,21,0,0,0
30,0,21,0,0,0
30,0,20,0,0,0
30,0,19,0,0,0
31,0,19,0,0,0
28,0,20,0,0,0
26,0,21,0,0,0
23,0,22,0,0,0
20,0,22,0,0,0
17,0,24,0,0,0
14,0,27,0,0,0
14,0,29,0,0,0
13,0,30,0,0,1
13,0,31,0,0,1
13,0,32,0,0,1
14,0,32,0,0,1
14,0,32,0,0,1
17,0,30,0,0,1
19,0,28,0,0,0
22,0,27,0,0,0
24,0,26,0,0,0
25,0,25,0,0,0
27,0,24,0,0,0
28,0,23,0,0,0
29,0,23,0,0,0
30,0,21,0,0,0
30,0,20,0,0,0
31,0,19,0,0,0
32,0,19,0,0,0
30,0,20,0,0,0
28,0,21,0,0,0
26,0,21,0,0,0
22,0,22,0,0,0
19,0,24,0,0,0
15,0,27,0,0,0
14,0,29,0,0,0
14,0,31,0,0,1
13,0,32,0,0,1
13,0,32,0,0,1
14,0,32,0,0,1
14,0,32,0,0,1
18,0,31,0,0,1
22,0,29,0,0,0
26,0,27,0,0,0
28,0,26,0,0,0
29,0,25,0,0,0
30,0,24,0,0,0
31,0,22,0,0,0
31,0,21,0,0,0
32,0,21,0,0,0
33,0,20,0,0,0
34,0,20,0,0,0
36,0,20,0,0,0
33,0,20,0,0,0
30,0,21,0,0,0
28,0,22,0,0,0
24,0,23,0,0,0
19,0,25,0,0,0
15,0,28,0,0,0
15,0,30,0,0,1
14,0,31,0,0,1
14,0,32,0,0,1
14,0,32,0,0,1
15,0,32,0,0,1
15,0,32,0,0,1
19,0,31,0,0,1
24,0,29,0,0,0
28,0,27,0,0,0
28,0,26,0,0,0
29,0,26,0,0,0
30,0,25,0,0,0
32,0,24,0,0,0
35,0,23,0,0,0
37,0,21,0,0,0
38,0,21,0,0,0
39,0,21,0,0,0
40,0,20,0,0,0
36,0,21,0,0,0
33,0,21,0,0,0
29,0,22,0,0,0
25,0,22,0,0,0
22,0,24,0,0,0
18,0,27,0,0,0
18,0,29,0,0,0
17,0,31,0,0,1
17,0,32,0,0,1
17,0,32,0,0,1
18,0,32,0,0,1
18,0,32,0,0,1
23,0,30,0,0,1
28,0,29,0,0,0
33,0,27,0,0,0
33,0,25,0,0,0
34,0,24,0,0,0
35,0,24,0,0,0
38,0,22,0,0,0
41,0,22,0,0,0
45,0,22,0,0,0
44,0,22,0,0,0
44,0,21,0,0,0
44,0,21,0,0,0
40,0,21,0,0,0
36,0,22,0,0,0
33,0,22,0,0,0
28,0,23,0,0,0
24,0,24,0,0,0
19,0,27,0,0,0
18,0,29,0,0,0
16,0,30,0,0,1
15,0,31,0,0,1
15,0,32,0,0,1
16,0,31,0,0,1
17,0,30,0,0,1
20,0,29,0,0,0
24,0,28,0,0,0
27,0,26,0,0,0
29,0,25,0,0,0
31,0,23,0,0,0
33,0,22,0,0,0
35,0,23,0,0,0
36,0,21,0,0,0
38,0,21,0,0,0
37,0,20,0,0,0
36,0,20,0,0,0
35,0,19,0,0,0
33,0,20,0,0,0
32,0,20,0,0,0
30,0,21,0,0,0
26,0,21,0,0,0
22,0,23,0,0,0
18,0,27,0,0,0
17,0,28,0,0,0
16,0,30,0,0,1
15,0,31,0,0,1
16,0,31,0,0,1
17,0,30,0,0,1
18,0,29,0,0,0
21,0,29,0,0,0
24,0,28,0,0,0
26,0,26,0,0,0
28,0,25,0,0,0
30,0,24,0,0,0
31,0,24,0,0,0
32,0,23,0,0,0
33,0,23,0,0,0
33,0,22,0,0,0
34,0,22,0,0,0
34,0,23,0,0,0
34,0,22,0,0,0
33,0,21,0,0,0
31,0,22,0,0,0
29,0,22,0,0,0
28,0,22,0,0,0
26,0,24,0,0,0
25,0,25,0,0,0
24,0,26,0,0,0
24,0,27,0,0,0
24,0,28,0,0,0
25,0,29,0,0,0
26,0,28,0,0,0
27,0,27,0,0,0
30,0,27,0,0,0
33,0,26,0,0,0
37,0,25,0,0,0
39,0,23,0,0,0
42,0,22,0,0,0
45,0,21,0,0,0
48,0,22,0,0,0
51,0,21,0,0,0
54,0,20,0,0,0
55,0,19,0,0,0
56,0,19,0,0,0
57,0,18,0,0,0
54,0,19,0,0,0
51,0,20,0,0,0
49,0,20,0,0,0
41,0,21,0,0,0
34,0,23,0,0,0
27,0,26,0,0,0
24,0,28,0,0,0
21,0,29,0,0,0
18,0,30,0,0,1
20,0,29,0,0,0
21,0,29,0,0,0
23,0,29,0,0,0
29,0,28,0,0,0
35,0,26,0,0,0
41,0,24,0,0,0
46,0,22,0,0,0
50,0,22,0,0,0
55,0,22,0,0,0
56,0,21,0,0,0
57,0,20,0,0,0
57,0,19,0,0,0
56,0,19,0,0,0
54,0,18,0,0,0
53,0,18,0,0,0
48,0,18,0,0,0
43,0,19,0,0,0
38,0,19,0,0,0
32,0,20,0,0,0
26,0,22,0,0,0
20,0,26,0,0,0
19,0,27,0,0,0
18,0,29,0,0,0
17,0,30,0,0,1
18,0,29,0,0,0
20,0,29,0,0,0
21,0,28,0,0,0
24,0,27,0,0,0
27,0,26,0,0,0
31,0,24,0,0,0
32,0,22,0,0,0
33,0,22,0,0,0
34,0,21,0,0,0
33,0,21,0,0,0
32,0,21,0,0,0
32,0,20,0,0,0
32,0,19,0,0,0
33,0,19,0,0,0
34,0,18,0,0,0
31,0,19,0,0,0
29,0,19,0,0,0
27,0,20,0,0,0
26,0,21,0,0,0
25,0,23,0,0,0
25,0,26,0,0,0
24,0,27,0,0,0
24,0,28,0,0,0
23,0,29,0,0,0
24,0,30,0,0,1
25,0,29,0,0,0
26,0,28,0,0,0
28,0,28,0,0,0
30,0,27,0,0,0
32,0,25,0,0,0
34,0,23,0,0,0
36,0,22,0,0,0
38,0,21,0,0,0
39,0,21,0,0,0
39,0,21,0,0,0
40,0,21,0,0,0
41,0,20,0,0,0
42,0,18,0,0,0
43,0,19,0,0,0
40,0,19,0,0,0
37,0,20,0,0,0
34,0,21,0,0,0
32,0,22,0,0,0
31,0,23,0,0,0
30,0,27,0,0,0
27,0,28,0,0,0
25,0,29,0,0,0
22,0,31,0,0,1
24,0,30,0,0,1
27,0,29,0,0,0
29,0,29,0,0,0
37,0,28,0,0,0
46,0,26,0,0,0
54,0,24,0,0,0
60,0,22,0,0,0
65,0,21,0,0,0
70,0,20,0,0,0
72,0,20,0,0,0
73,0,19,0,0,0
75,0,19,0,0,0
74,0,19,0,0,0
72,0,19,0,0,0
71,0,18,0,0,0
66,0,18,0,0,0
61,0,18,0,0,0
56,0,19,0,0,0
48,0,19,0,0,0
39,0,21,0,0,0
30,0,24,0,0,0
28,0,26,0,0,0
26,0,27,0,0,0
23,0,29,0,0,0
24,0,29,0,0,0
25,0,28,0,0,0
26,0,27,0,0,0
30,0,27,0,0,0
35,0,26,0,0,0
39,0,24,0,0,0
43,0,22,0,0,0
47,0,22,0,0,0
50,0,21,0,0,0
52,0,20,0,0,0
53,0,20,0,0,0
55,0,19,0,0,0
55,0,19,0,0,0
55,0,18,0,0,0
55,0,18,0,0,0
50,0,17,0,0,0
45,0,18,0,0,0
40,0,19,0,0,0
34,0,19,0,0,0
29,0,21,0,0,0
23,0,25,0,0,0
22,0,27,0,0,0
20,0,29,0,0,0
19,0,30,0,0,1
19,0,30,0,0,1
19,0,31,0,0,1
19,0,31,0,0,1
23,0,29,0,0,0
28,0,28,0,0,0
32,0,26,0,0,0
33,0,24,0,0,0
34,0,23,0,0,0
36,0,22,0,0,0
36,0,22,0,0,0
36,0,20,0,0,0
36,0,20,0,0,0
40,0,19,0,0,0
45,0,19,0,0,0
49,0,18,0,0,0
52,0,18,0,0,0
55,0,19,0,0,0
57,0,19,0,0,0
51,0,20,0,0,0
45,0,22,0,0,0
39,0,25,0,0,0
35,0,27,0,0,0
32,0,29,0,0,0
28,0,31,0,0,1
28,0,31,0,0,1
27,0,30,0,0,1
27,0,30,0,0,1
30,0,30,0,0,1
33,0,29,0,0,0
36,0,27,0,0,0
37,0,25,0,0,0
38,0,24,0,0,0
40,0,24,0,0,0
41,0,23,0,0,0
43,0,23,0,0,0
45,0,22,0,0,0
47,0,22,0,0,0
48,0,21,0,0,0
50,0,21,0,0,0
51,0,21,0,0,0
52,0,21,0,0,0
52,0,21,0,0,0
46,0,22,0,0,0
40,0,24,0,0,0
34,0,26,0,0,0
31,0,27,0,0,0
29,0,29,0,0,0
27,0,30,0,0,1
26,0,31,0,0,1
26,0,30,0,0,1
25,0,30,0,0,1
29,0,29,0,0,0
33,0,29,0,0,0
37,0,28,0,0,0
39,0,26,0,0,0
40,0,25,0,0,0
42,0,25,0,0,0
43,0,24,0,0,0
44,0,23,0,0,0
46,0,23,0,0,0
47,0,22,0,0,0
48,0,22,0,0,0
50,0,21,0,0,0
47,0,21,0,0,0
44,0,22,0,0,0
41,0,22,0,0,0
36,0,23,0,0,0
32,0,25,0,0,0
28,0,28,0,0,0
26,0,29,0,0,0
25,0,31,0,0,1
23,0,32,0,0,1
23,0,32,0,0,1
23,0,32,0,0,1
23,0,32,0,0,1
27,0,30,0,0,1
31,0,29,0,0,0
35,0,28,0,0,0
38,0,26,0,0,0
40,0,26,0,0,0
43,0,25,0,0,0
45,0,25,0,0,0
47,0,24,0,0,0
49,0,23,0,0,0
47,0,23,0,0,0
46,0,22,0,0,0
44,0,22,0,0,0
41,0,22,0,0,0
38,0,23,0,0,0
36,0,24,0,0,0
31,0,24,0,0,0
26,0,26,0,0,0
22,0,29,0,0,0
20,0,31,0,0,1
19,0,32,0,0,1
17,0,33,0,0,1
17,0,33,0,0,1
17,0,33,0,0,1
18,0,32,0,0,1
21,0,31,0,0,1
25,0,30,0,0,1
29,0,29,0,0,0
31,0,27,0,0,0
33,0,26,0,0,0
36,0,25,0,0,0
36,0,25,0,0,0
37,0,23,0,0,0
38,0,23,0,0,0
38,0,22,0,0,0
37,0,22,0,0,0
37,0,21,0,0,0
34,0,22,0,0,0
32,0,22,0,0,0
29,0,23,0,0,0
25,0,24,0,0,0
21,0,26,0,0,0
18,0,29,0,0,0
17,0,31,0,0,1
16,0,32,0,0,1
15,0,34,0,0,1
15,0,34,0,0,1
15,0,34,0,0,1
15,0,34,0,0,1
19,0,31,0,0,1
23,0,31,0,0,1
26,0,29,0,0,0
28,0,27,0,0,0
29,0,26,0,0,0
31,0,26,0,0,0
32,0,26,0,0,0
32,0,24,0,0,0
33,0,23,0,0,0
33,0,23,0,0,0
33,0,23,0,0,0
34,0,22,0,0,0
31,0,22,0,0,0
29,0,23,0,0,0
26,0,24,0,0,0
23,0,25,0,0,0
20,0,26,0,0,0
16,0,29,0,0,0
16,0,31,0,0,1
16,0,32,0,0,1
15,0,33,0,0,1
15,0,34,0,0,1
16,0,34,0,0,1
16,0,33,0,0,1
20,0,31,0,0,1
23,0,30,0,0,1
27,0,28,0,0,0
29,0,26,0,0,0
31,0,25,0,0,0
32,0,25,0,0,0
33,0,24,0,0,0
34,0,24,0,0,0
34,0,22,0,0,0
34,0,22,0,0,0
35,0,21,0,0,0
35,0,22,0,0,0
32,0,22,0,0,0
28,0,23,0,0,0
25,0,23,0,0,0
22,0,24,0,0,0
19,0,26,0,0,0
15,0,29,0,0,0
15,0,31,0,0,1
15,0,32,0,0,1
15,0,33,0,0,1
15,0,34,0,0,1
15,0,34,0,0,1
15,0,34,0,0,1
19,0,32,0,0,1
22,0,31,0,0,1
26,0,29,0,0,0
28,0,26,0,0,0
30,0,25,0,0,0
32,0,24,0,0,0
33,0,24,0,0,0
35,0,24,0,0,0
